id,created_at,text
1428190899553677314,2021-08-19 03:03:39,"They put me to work in Cloverdale today — and I hope that on September 20th, Cloverdale–Langley City votes to put @jwaldag to work in Ottawa. Thanks for the pint, Hawthrone Beer Market. https://t.co/ICPikuaH3H"
1428190844251738115,2021-08-19 03:03:26,"J’ai travaillé fort pour ma pinte! Et je suis convaincu que @jwaldag travaillera fort aussi pour Cloverdale–Langley City une fois rendu à Ottawa. Merci pour la bière, les amis. https://t.co/c99w2kOhdw"
1428169475430490121,2021-08-19 01:38:31,"Canadians are seeing the real impacts of climate change in their communities. We need to act now and prepare for future extreme weather events. 

More on our plan here ⬇️
https://t.co/B5UleRunhX"
1428169462319095817,2021-08-19 01:38:28,"Les Canadiens vivent directement les effets dévastateurs des changements climatiques dans leurs communautés. Nous devons agir maintenant et nous préparer pour ces événements météorologiques extrêmes. 

Les détails de notre plan ici ⬇️
https://t.co/gYxvkncuVR"
1428158725467017219,2021-08-19 00:55:48,"RT @randeepssarai: 1/2 This morning, @JustinTrudeau &amp; our Liberal team announced that we are moving #ForwardForEveryone by training 1,000 n…"
1428158370331123715,2021-08-19 00:54:24,"RT @JoyceMurray: A re-elected Liberal gov means a real plan to fight wildfires, protect our forests and keep 🇨🇦 safe.

This includes $500M…"
1428103285865648130,2021-08-18 21:15:30,"I’m LIVE on Instagram with members of the Liberal team — @Joanne_NL, Alxys Chamberlain, and Brendan Hanley. Watch here: https://t.co/KFXrf6BguK"
1428103269084274698,2021-08-18 21:15:26,"Je suis EN DIRECT sur Instagram avec des membres de notre équipe libérale : @Joanne_NL, Alxys Chamberlain, et Brendan Hanley. Regardez ici : https://t.co/KFXrf6BguK"
1428026940926091270,2021-08-18 16:12:08,"We’re in a climate emergency, and we cannot wait to act. Today we’re announcing our plan to fight the climate crisis and prepare for future extreme weather events to keep Canadians safe and healthy. Watch live: https://t.co/hGWESlHhr4"
1428026927399456768,2021-08-18 16:12:05,"On est en pleine urgence climatique, et on ne peut attendre avant d’agir. Auj., on annonce notre plan de lutte contre les changements climatiques pour assurer la santé/sécurité des Canadiens + nous préparer contre des événements météo extrêmes. En direct: https://t.co/JYilJAeEWp"
1427839186564960262,2021-08-18 03:46:04,"Congratulations, @TimHoustonNS. Let’s continue to build a better future for Nova Scotians and all Canadians, and thank you @IainTRankin for your great leadership and service to Nova Scotians."
1427839173898252293,2021-08-18 03:46:01,Félicitations @TimHoustonNS - continuons à bâtir un meilleur avenir pour les Néo-Écossais et tous les Canadiens.  Merci @IainTRankin pour votre leadership et service aux Néo-Écossais.
