id,created_at,full_text
1424797582140874753,2021-08-09 18:19:49,"b""Le rapport du GIEC d'aujourd'hui ne laisse aucune place au doute, nous devons agir de toute urgence pour \xc3\xa9viter d\xe2\x80\x99un changement climatique catastrophique. \n\nPour en savoir plus sur notre plan pour la transition vers une \xc3\xa9conomie z\xc3\xa9ro \xc3\xa9mission : https://t.co/Fz0j4lAZy8"""
1424795624529137665,2021-08-09 18:12:02,"b'Today\xe2\x80\x99s #IPCC report leaves no room for doubt, we have to act urgently to prevent catastrophic climate change. \n\nLearn more about our plan to get to net-zero emissions, and build a more resilient Canada: https://t.co/DbUJYsUW7Z https://t.co/m6MfPLgE0Z'"
1424778360576692227,2021-08-09 17:03:26,"b'RT @JustinTrudeau: En cette #Journ\xc3\xa9eDesPeuplesAutochtones, nous c\xc3\xa9l\xc3\xa9brons les cultures, les langues et les traditions vivantes et diversifi\xe2\x80\xa6'"
1424778329736032257,2021-08-09 17:03:19,"b'RT @JustinTrudeau: On #IndigenousDay, we celebrate the vibrant and diverse cultures, languages, and traditions of Indigenous peoples here i\xe2\x80\xa6'"
1424686412062986242,2021-08-09 10:58:04,"b'Just as the UN releases this dire report on the state of our climate, Canada\xe2\x80\x99s conservatives say we\xe2\x80\x99re taking too much action. Our way of life depends on us taking this seriously. It\xe2\x80\x99s well past time premier Kenney and the conservatives understand that. \n\nhttps://t.co/D9rTuhdb8f https://t.co/pBoletkivz'"
1424681908408029193,2021-08-09 10:40:10,"b""Le rapport du @IPCC_CH sur les changements climatiques publi\xc3\xa9 aujourd'hui ne m\xc3\xa2che pas ses mots : nous devons agir maintenant. \n\nMa d\xc3\xa9claration : https://t.co/PtvsqLrmMv"""
1424680707859812357,2021-08-09 10:35:24,b'Today\xe2\x80\x99s \xe2\x81\xa6@IPCC_CH\xe2\x81\xa9 report on #climatechange does not mince words: we are running out of time to fix this. \n\nMy statement:  https://t.co/tle3nta1c7'
1424172724545482757,2021-08-08 00:56:52,"b'New investments by the government through the AgriInnovate Program will help farmers enhance efficiency, productivity and ensure that agri-tech companies are well-positioned for the future though innovative technology and improved equipment.'"
1424172719097090049,2021-08-08 00:56:50,b'Great news for North Vancouver and agri-tech companies. An investment of up to $3.9 million has been awarded to Ecoation Innovative Solutions Inc. @EcoationCanada \n\nhttps://t.co/K11i0J7rl7 https://t.co/YuZtH8k90i'
1424047154017054721,2021-08-07 16:37:53,b'RT @Carolyn_Bennett: So great! Minister @JonathanWNV announced the National Urban Park Program to create a network of urban parks across \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xe2\x80\xa6'
1424047079891025922,2021-08-07 16:37:36,b'Ma d\xc3\xa9cision relative au projet de mine de charbon Grassy Mountain : https://t.co/HEx6JR8o7R'
1424046881378873348,2021-08-07 16:36:48,b'My decision regarding the Grassy Mountain Coal project: https://t.co/zO67r7ZERy'
1423726085611655170,2021-08-06 19:22:05,b'Investir dans un r\xc3\xa9seau de parcs nationaux est une vision et un plan \xc3\xa0 long terme afin de construire un avenir positif pour la nature et neutre en carbone. \xf0\x9f\x8c\xbf https://t.co/SgtYBkdhdV'
1423711268398043142,2021-08-06 18:23:12,"b""Climate change shouldn't be a partisan issue. It is a science issue. You shouldn't be arguing against the science of climate change. You should be trying to figure out how you actually make progress in a way that's most relevant for your community.\nhttps://t.co/XdxshoTArW"""
1423684551457525763,2021-08-06 16:37:02,"b""What a victory for Canadian women's soccer team, and great goal by Julia Grosso during shootout!! You make Canada and Vancouver so proud! As a father and former soccer coach, this team is an inspiration for my daughters and the next generation of champions. Way to go! https://t.co/UGsLN1lVLG"""
1423672792533413896,2021-08-06 15:50:18,"b""Au G7 du mois dernier, nous avons doubl\xc3\xa9 notre financement climatique, passant de 2,65 milliards $ en 2015 \xc3\xa0 5,3 milliards $ sur cinq ans, pour aider d'autres pays \xc3\xa0 d\xc3\xa9velopper des solutions fond\xc3\xa9es sur la nature, \xc3\xa0 s'adapter aux changements climatiques et \xc3\xa0 \xc3\xaatre plus r\xc3\xa9silients. https://t.co/vC8ThRetbt"""
1423672779522691079,2021-08-06 15:50:15,"b'At last month\xe2\x80\x99s G7, we announced that we\xe2\x80\x99re doubling our climate finance, from $2.65 billion in 2015 to $5.3 billion over five years to help other countries develop nature-based solutions, adapt to climate change and be more resilient. https://t.co/Rs8e0VzXgx'"
1423665755770523652,2021-08-06 15:22:21,"b""RT @CPAWSNAB: We welcome #ParksCanada 's announcement launching a program to build a #NationalUrbanParks Network. \nParks Canada is working\xe2\x80\xa6"""
1423631363442364424,2021-08-06 13:05:41,b'RT @Tim_Bousquet: This is HUGE news! Halifax signs agreement with Ottawa toward national park at Blue Mountain-Birch Cove Lakes https://t.c\xe2\x80\xa6'
1423617948456001541,2021-08-06 12:12:23,b'RT @LindaDuncanAB: Congrats @Meewasin &amp; Saskatoon signing MOU with @ParksCanada for Urban National Park development Thx @JonathanWNV for th\xe2\x80\xa6'
